sentence,label
음... 처음 뵙겠습니다. 잘 부탁드립니다!,인사
안녕하세요!,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
여기 처음 오셨죠? 반가워요! 😊,인사
처음 뵙겠습니다. 잘 부탁드립니다!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
음... 안녕~ 날씨 참 좋네요.,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요~.",인사
오늘 하루도 좋은 하루 되세요.,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
오늘 하루도 좋은 하루 되세요. 😊,인사
음... 여기 처음 오셨죠? 반가워요!,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
안녕하세요!,인사
안녕하세요!,인사
좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
여기 처음 오셨죠? 반가워요! 😊,인사
오늘 하루도 좋은 하루 되세요~.,인사
좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
안녕하세요!,인사
음... 여기 처음 오셨죠? 반가워요!,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
안녕하세요!,인사
안녕~ 날씨 참 좋네요.,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요. 😊",인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
오늘 하루도 좋은 하루 되세요.,인사
여기 처음 오셨죠? 반가워요!,인사
음... 어제보다 더 좋은 하루가 되시길 바랍니다.,인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
여기 처음 오셨죠? 반가워요! 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
음... 여기 처음 오셨죠? 반가워요!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
음... 오늘 하루도 좋은 하루 되세요.,인사
음... 처음 뵙겠습니다. 잘 부탁드립니다!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
안녕하세요!,인사
안녕하세요! 😊,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
안녕~ 날씨 참 좋네요.,인사
음... 오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
좋은 아침이에요! 오늘도 힘차게 시작해요! 😊,인사
오늘 하루도 좋은 하루 되세요~.,인사
여기 처음 오셨죠? 반가워요!,인사
음... 안녕~ 날씨 참 좋네요.,인사
안녕하세요! 😊,인사
여기 처음 오셨죠? 반가워요!,인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
음... 어제보다 더 좋은 하루가 되시길 바랍니다.,인사
음... 안녕~ 날씨 참 좋네요.,인사
좋은 아침이에요! 오늘도 힘차게 시작해요! 😊,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요~.",인사
어제보다 더 좋은 하루가 되시길 바랍니다.,인사
여기 처음 오셨죠? 반가워요!,인사
오늘 하루도 좋은 하루 되세요.,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
오늘 하루도 좋은 하루 되세요. 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
음... 안녕하세요!,인사
음... 이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
안녕하세요! 😊,인사
오랜만에 인사드려요~. 건강하게 잘 지내셨죠?,인사
"음... 여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
처음 뵙겠습니다. 잘 부탁드립니다!,인사
여기 처음 오셨죠? 반가워요~!,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
오늘 하루도 좋은 하루 되세요.,인사
여기 처음 오셨죠? 반가워요! 😊,인사
음... 안녕하세요!,인사
어제보다 더 좋은 하루가 되시길 바랍니다.,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
오늘 하루도 좋은 하루 되세요.,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
음... 오늘 하루도 좋은 하루 되세요.,인사
오늘 하루도 좋은 하루 되세요. 😊,인사
음... 안녕하세요!,인사
음... 안녕하세요!,인사
처음 뵙겠습니다. 잘 부탁드립니다!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
음... 오늘 하루도 좋은 하루 되세요.,인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
좋은 아침이에요~! 오늘도 힘차게 시작해요~!,인사
좋은 아침이에요~! 오늘도 힘차게 시작해요~!,인사
